Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,LAST_NAME,FIRST_NAME,SP_TITLE
Lizzetta Hill McConnell,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,None,-30.68,19.23,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,H8AL01082,"MCCONNELL, LIZZETTA HILL",C,1.0,DEM,5127.0,0.0,6021.0,0.0,0.0,-894.0,0.0,0.0,0.0,0.0,0.0,0.0,5127.0,AL,1.0,,,,,,0.0,0.0,06/30/2018,0.0,0.0,mcconnell, lizzetta hill,
Robert Kennedy Jr.,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-30.68,80.769997,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,H8AL01066,"KENNEDY, ROBERT JR.",C,1.0,DEM,166845.21,0.0,166845.21,0.0,0.0,0.0,0.0,120000.0,0.0,120000.0,0.0,0.0,39095.21,AL,1.0,,,,,,7750.0,0.0,12/31/2018,0.0,0.0,kennedy, robert ,
Robert Kennedy Jr.,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-30.68,80.769997,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,S8AL00365,"KENNEDY, ROBERT JR",C,1.0,DEM,37129.0,0.0,37129.0,0.0,0.0,0.0,129.0,16577.0,0.0,0.0,0.0,0.0,20423.0,AL,0.0,,,,,,0.0,0.0,12/31/2017,14.0,0.0,kennedy, robert jr,
Audri Scott Williams,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,None,-33.080002,39.560001,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,H8AL02163,"WILLIAMS, AUDRI SCOTT 1955",C,1.0,DEM,35365.02,0.0,35210.22,0.0,279.0,-328.0,2200.0,0.0,0.0,0.0,0.0,0.0,33165.02,AL,2.0,,,,,,0.0,0.0,06/30/2018,0.0,0.0,williams, audri scott 1955,
Tabitha Isner,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.080002,60.439999,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,H8AL02197,"ISNER, TABITHA KAY",C,1.0,DEM,524941.35,0.0,524941.35,0.0,0.0,0.0,14285.73,0.0,0.0,0.0,0.0,0.0,501490.57,AL,2.0,,,,,,8605.0,0.0,12/31/2018,4796.05,1000.0,isner, tabitha kay,
Adia McClellan Winfrey,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,None,-33.66,34.240002000000004,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,H8AL03062,"WINFREY, ADIA MCCLELLAN DR",C,1.0,DEM,14535.25,0.0,9959.35,0.0,0.0,0.59,140.0,801.25,3980.0,0.0,0.0,0.0,9614.0,AL,3.0,,,,,,0.0,0.0,12/31/2018,203.6,0.0,winfrey, adia mcclellan dr,
Mallory Hagan,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.66,65.739998,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,H8AL03054,"HAGAN, MALLORY",C,1.0,DEM,467514.71,0.0,464472.2,0.0,0.0,2917.53,0.0,0.0,0.0,0.0,0.0,2493.22,409309.26,AL,3.0,,,,,,30500.0,500.0,12/31/2018,3935.43,0.0,hagan, mallory,
James Lee Auman,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-62.48,54.130001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,H8AL04094,"AUMAN, JAMES LEE",C,1.0,DEM,70425.87,0.0,77551.69,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1000.0,61160.87,AL,4.0,,,,,,9225.0,0.0,12/31/2018,0.0,0.0,auman, james lee,
Ricky Neighbors,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,None,-62.48,45.869999,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,H8AL04086,"NEIGHBORS, RICKY ALLEN",C,1.0,DEM,21088.35,0.0,17429.2,0.0,0.0,4805.37,0.0,0.0,0.0,0.0,0.0,0.0,20588.35,AL,4.0,,,,,,500.0,0.0,09/30/2018,0.0,0.0,neighbors, ricky allen,
Peter Joffrion,AL,U.S. House Alabama District 5,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-34.830002,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,H8AL05190,"JOFFRION, PETER S.",C,1.0,DEM,590173.38,0.0,587237.93,0.0,0.0,2935.45,1156.51,5000.0,0.0,5000.0,0.0,0.0,553386.53,AL,5.0,,,,,,29823.41,0.0,12/31/2018,5670.3,4000.0,joffrion, peter s.,
