Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,LAST_NAME,FIRST_NAME,SP_TITLE
Steve Smith,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Lost,None,None,37.8,No,Yes,,,,,,,Yes,,,Yes,,,,H8AZ01229,"SMITH, STEVE",C,2.0,REP,438887.91,0.0,438701.54,0.0,0.0,186.37,0.0,0.0,0.0,0.0,0.0,0.0,408387.91,AZ,1.0,,,,,,30500.0,0.0,12/31/2018,75150.0,1000.0,smith, steve,
Wendy Rogers,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Advanced,None,On the Ballot,43.4,Yes,Yes,,,,,,,No,,,No,,,,H2AZ09035,"ROGERS, WENDY",C,2.0,REP,1423836.68,0.0,1427124.4,0.0,4989.79,1702.07,698.53,8000.0,0.0,5000.0,0.0,34837.38,1302250.0,AZ,1.0,,,,,,83750.0,5000.0,12/31/2018,6300.0,0.0,rogers, wendy,
Tiffany Shedd,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Lost,None,None,18.8,No,Yes,,,,,,,No,,,No,,,,H8AZ01237,"SHEDD, TIFFANY",C,2.0,REP,598230.31,0.0,594796.85,0.0,0.0,3433.46,20442.62,229000.0,0.0,0.0,0.0,294340.37,288411.69,AZ,1.0,,,,,,59752.63,0.0,12/31/2018,31800.0,5000.0,shedd, tiffany,
Lea Marquez Peterson,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Advanced,None,On the Ballot,33.6,Yes,Yes,,,,,,,,Yes,,,,,,H8AZ02185,"PETERSON, LEA MARQUEZ",O,2.0,REP,1466445.23,73653.36,1457230.95,0.0,0.0,9214.28,0.0,30800.0,0.0,20000.0,0.0,12312.51,1105238.11,AZ,2.0,,,,,,254050.0,0.0,12/31/2018,100.0,0.0,peterson, lea marquez,
Casey Welch,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,21.4,No,No,,,,,,,,No,,,,,,H8AZ02193,"WELCH, CASEY BURKE MR.",O,2.0,REP,14846.7,0.0,14652.33,0.0,0.0,0.0,13446.7,0.0,0.0,0.0,0.0,0.0,1400.0,AZ,2.0,,,,,,0.0,0.0,10/30/2018,0.0,0.0,welch, casey burke mr.,
Daniel Morales,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,15.9,No,No,,,,,,,,No,,,,,,H8AZ02227,"MORALES, DANIEL ROMERO JR",O,2.0,REP,11351.13,0.0,11271.83,0.0,0.0,79.3,1656.29,0.0,0.0,0.0,0.0,0.0,9694.84,AZ,2.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,morales, daniel romero jr,
Brandon Martin,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,29.1,No,No,,,,,,,,No,,,,,,H8AZ02201,"MARTIN, BRANDON RAY",O,2.0,REP,39639.59,0.0,39639.59,0.0,0.0,0.0,875.59,0.0,0.0,0.0,0.0,0.0,38319.48,AZ,2.0,,,,,,0.0,0.0,12/31/2018,50.0,0.0,martin, brandon ray,
Edna San Miguel,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Lost,None,None,21.4,No,,,,,,,,,,,,,,,H6AZ03179,"MIGUEL, EDNA SAN",C,2.0,REP,13088.28,0.0,8034.43,0.0,0.0,2583.43,450.0,0.0,0.0,0.0,0.0,0.0,11540.0,AZ,3.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,miguel, edna san,
Sergio Arellano,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Lost,None,None,27.3,No,,,,,,,,,,,,,,,H8AZ03142,"ARELLANO, SERGIO",C,2.0,REP,40346.71,0.0,40346.71,0.0,0.0,0.0,3481.52,0.0,0.0,0.0,0.0,0.0,36840.19,AZ,3.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,arellano, sergio,
Nicolas Pierson,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Advanced,None,On the Ballot,51.4,Yes,,,,,,,,,,,,,,,H8AZ03159,"PIERSON, NICOLAS",C,2.0,REP,77401.0,0.0,71640.5,0.0,0.0,19.24,0.0,5609.0,0.0,0.0,0.0,5000.0,70267.0,AZ,3.0,,,,,,1500.0,0.0,12/31/2018,400.0,0.0,pierson, nicolas,
